Pos,Channel,Cell,MothCell,BirthFr,DivFr,Lb,Lri1,Lri2,Lri3,Lrt,Ln,Lc,Ld,Tri1,Tri2,Tri3,Trt,Tn,Tc,Td
5,3,1,1,96,130,1.698,1.378,2.738,2.738,1.882,2.411,2.592,3.175,-40,108.0,108.0,28,80,100,136
5,3,2,2,46,74,1.216,1.372,2.964,3.505,1.928,2.176,2.231,2.644,-8,132.0,160.0,68,76,84,112
5,3,2,2,76,111,1.439,1.55,3.392,3.82,2.672,2.672,2.738,3.413,12,152.0,176.0,104,104,108,140
5,3,11,11,43,93,1.078,1.183,2.862,2.956,2.008,2.413,2.628,3.249,16,172.0,180.0,116,148,160,200
5,3,17,2,46,75,1.712,1.388,3.116,3.425,1.91,2.12,2.546,2.966,-4,128.0,140.0,64,72,84,116
5,3,17,17,73,114,1.452,1.482,,,2.122,2.122,2.626,2.902,20,,,100,104,144,164
5,3,18,1,59,103,1.77,1.405,2.45,2.399,1.759,2.613,2.919,3.567,-80,96.0,92.0,8,108,132,176
5,3,19,2,75,119,1.261,1.621,,,2.473,2.448,2.538,3.059,44,,,132,128,140,176
5,3,23,18,103,134,1.876,1.199,2.807,2.742,1.933,2.473,2.742,3.134,-84,100.0,96.0,4,68,96,124
5,4,1,1,48,80,1.523,1.499,3.043,3.126,2.161,2.119,2.426,2.823,-20,144.0,148.0,80,76,96,128
5,4,1,1,80,130,1.451,1.555,,,2.469,2.493,2.784,3.017,16,,,140,144,172,200
5,4,2,2,39,68,1.828,1.6,3.286,3.062,2.316,2.767,2.896,3.384,-24,108.0,100.0,40,72,84,116
5,4,2,2,68,104,1.772,1.507,3.317,3.247,2.535,2.535,2.832,3.503,-20,136.0,132.0,80,80,108,144
5,4,2,2,103,134,1.657,1.609,2.969,3.152,2.364,2.703,2.844,3.623,-12,104.0,112.0,60,84,96,124
5,4,3,3,34,62,1.727,1.727,3.386,3.211,2.455,2.471,2.828,3.169,0,132.0,120.0,68,72,92,112
5,4,14,3,34,65,1.591,1.566,3.16,2.927,2.266,2.347,2.526,3.101,-8,128.0,116.0,60,76,92,124
5,4,15,2,39,61,1.807,1.483,3.101,3.112,2.234,2.56,2.78,3.112,-36,84.0,88.0,32,48,64,88
5,4,15,15,62,101,1.525,1.501,3.222,,2.355,2.355,2.533,3.209,-12,172.0,,96,96,116,156
5,4,16,1,48,84,1.913,1.563,3.084,3.084,2.35,2.643,2.774,3.365,-12,124.0,124.0,60,88,104,144
5,4,16,16,84,122,1.743,1.559,3.167,3.325,2.342,2.547,2.728,3.025,-16,164.0,192.0,80,100,120,152
5,4,18,15,61,89,1.605,1.613,3.269,,2.367,2.664,2.664,3.296,-4,124.0,,72,88,88,112
5,4,21,1,79,123,1.336,1.417,3.262,,2.182,2.295,2.468,2.749,8,228.0,,116,128,152,176
5,4,22,16,84,116,1.622,1.542,3.025,3.271,2.234,2.321,2.629,3.051,-20,136.0,156.0,64,80,100,128
5,5,2,2,28,56,1.72,1.302,2.555,2.518,2.129,2.474,2.555,3.005,-44,80.0,76.0,32,72,80,112
5,5,2,2,57,92,1.604,1.278,,,1.974,2.214,2.417,2.784,-36,,,52,84,104,140
5,5,3,3,38,73,1.769,1.901,,,2.736,2.543,2.874,3.305,24,,,100,88,112,140
5,5,10,2,29,53,1.783,1.256,2.79,2.79,2.109,2.279,2.455,3.253,-56,76.0,76.0,24,40,60,96
5,5,14,10,53,79,1.706,1.36,3.122,3.127,2.293,2.293,2.847,3.122,-24,104.0,108.0,48,48,84,104
5,5,15,2,57,94,1.48,1.259,,,1.847,2.133,2.256,2.576,-40,,,56,100,116,148
6,1,1,1,10,82,1.408,1.676,3.038,3.344,2.55,2.95,2.88,3.777,84,240.0,260.0,192,232,228,288
6,1,1,1,82,106,1.889,1.519,3.255,3.16,2.163,2.296,2.407,3.025,-48,112.0,104.0,32,40,52,96
6,1,2,2,44,65,1.951,1.548,3.103,3.216,2.276,2.594,2.594,3.161,-36,80.0,88.0,28,48,48,84
6,1,2,2,65,98,1.586,1.554,3.525,3.272,2.352,2.352,2.475,3.028,-4,188.0,148.0,84,84,100,132
6,1,11,1,10,75,1.402,1.63,3.357,3.663,2.385,2.503,2.571,3.05,72,288.0,308.0,180,200,216,260
6,1,16,2,44,66,1.946,1.579,3.694,3.356,2.308,2.654,2.713,3.356,-32,100.0,88.0,28,52,56,88
6,1,18,2,65,95,1.575,1.55,4.091,4.068,2.705,2.611,2.839,3.218,-4,144.0,148.0,88,84,92,120
6,1,20,11,76,128,1.568,1.767,3.339,3.339,2.439,2.892,3.123,3.399,36,204.0,204.0,136,172,180,208
6,1,21,1,82,103,1.889,1.547,2.996,3.166,2.269,2.269,2.485,2.846,-44,104.0,116.0,36,36,60,84
6,2,2,2,53,89,1.716,1.838,3.02,3.121,2.536,2.758,2.679,3.239,12,128.0,136.0,100,112,108,144
6,2,2,2,89,121,1.639,1.51,3.212,3.176,2.506,2.453,2.453,3.069,-16,148.0,144.0,88,84,84,128
6,2,3,3,27,92,1.523,1.736,3.845,3.496,2.611,2.933,2.96,3.529,56,288.0,256.0,168,200,208,260
6,2,4,4,32,76,1.462,1.742,,,2.534,2.586,2.735,3.402,44,,,120,128,136,176
6,2,13,3,27,67,1.448,1.597,3.46,3.603,2.582,2.354,2.609,3.1,36,180.0,188.0,124,112,128,160
6,2,17,2,53,85,1.573,1.617,3.135,3.229,2.284,2.702,2.626,3.318,8,120.0,124.0,76,100,96,128
6,2,17,17,85,114,1.676,1.571,3.377,3.353,2.421,2.535,2.746,3.286,-8,128.0,124.0,64,72,88,116
6,2,21,17,85,112,1.642,1.603,3.427,3.626,2.27,2.63,2.63,3.115,-4,124.0,136.0,56,76,76,108
6,2,22,1,89,127,1.74,1.63,3.139,3.174,2.471,2.48,2.499,3.139,-12,152.0,156.0,84,88,96,152
6,2,23,2,89,123,1.601,1.549,3.283,3.091,2.369,2.47,2.658,3.357,-8,132.0,124.0,80,88,100,136
6,3,2,2,78,114,2.305,1.458,3.047,3.011,2.281,2.768,2.89,3.484,-88,104.0,100.0,-4,76,88,144
6,3,3,3,16,43,1.728,1.175,2.448,2.691,2.038,2.385,2.691,3.296,-60,64.0,80.0,32,60,80,108
6,3,6,2,21,68,1.462,1.628,2.463,2.463,2.02,2.237,2.59,3.344,36,140.0,140.0,100,124,148,188
6,3,6,6,69,97,1.709,1.232,2.891,2.967,1.963,2.199,2.567,3.068,-52,104.0,108.0,24,52,80,112
6,3,9,9,104,134,1.516,1.337,2.284,2.237,1.857,2.284,2.284,3.171,-24,72.0,68.0,36,72,72,120
6,4,1,1,50,81,1.974,1.323,2.871,2.815,1.992,2.668,2.686,3.281,-60,100.0,96.0,4,80,84,124
6,4,1,1,81,120,1.605,1.435,3.035,2.871,2.11,2.2,2.381,2.819,-24,172.0,160.0,92,104,120,156
6,4,2,2,38,91,1.543,1.544,2.923,3.092,2.201,2.288,2.48,3.092,12,200.0,212.0,112,136,152,212
6,4,2,2,91,134,1.59,1.515,3.3,2.799,2.05,2.3,2.515,3.366,-12,168.0,152.0,76,108,128,172
6,4,3,3,18,53,1.569,1.616,3.63,3.422,2.227,2.276,2.606,2.955,16,180.0,176.0,88,92,116,140
6,4,3,3,53,97,1.542,1.848,3.25,3.149,2.413,2.982,3.25,3.828,40,152.0,148.0,108,140,152,176
6,4,4,4,9,37,1.595,1.522,3.502,3.239,2.371,2.517,2.708,3.122,-8,136.0,120.0,64,76,88,112
6,4,10,4,9,42,1.633,1.576,3.056,3.056,2.277,2.832,2.774,3.364,-8,120.0,120.0,60,104,100,132
6,4,16,1,50,87,1.729,1.301,2.705,2.766,1.848,2.399,2.48,2.938,-64,120.0,124.0,12,96,104,148
6,4,16,16,86,122,1.446,1.352,2.707,2.707,2.077,2.309,2.618,3.273,-24,120.0,120.0,72,96,116,144
6,4,19,1,81,130,1.675,1.408,3.004,3.084,2.265,2.611,2.754,3.488,-28,172.0,176.0,104,140,152,196
6,4,20,16,86,125,1.446,1.383,3.188,3.282,1.984,2.195,2.478,2.892,-20,172.0,184.0,76,104,128,156
7,3,2,2,20,56,1.513,1.513,3.455,3.522,2.103,2.514,2.797,3.04,0,172.0,176.0,80,108,124,144
7,3,2,2,56,96,1.559,1.763,3.439,3.678,2.627,2.627,2.818,3.039,28,188.0,212.0,120,120,136,160
7,3,3,3,31,54,1.735,1.288,3.11,2.994,1.912,2.127,2.447,2.994,-56,100.0,92.0,16,36,56,92
7,3,11,1,25,87,1.589,1.681,3.432,3.432,2.093,2.379,2.646,3.146,28,288.0,288.0,120,172,196,248
7,3,13,3,33,55,1.821,1.299,2.787,2.925,1.94,2.21,2.466,2.847,-60,84.0,92.0,12,44,60,88
7,3,16,2,57,107,1.5,1.725,3.747,3.495,2.237,2.622,2.708,3.43,28,228.0,204.0,92,128,140,200
7,4,1,1,25,51,1.801,1.381,3.099,3.061,2.095,2.509,2.591,3.136,-32,100.0,96.0,28,60,64,104
