Lip,Li,Lb,Ld,Td,Tri1
1.075,1.012,1.483,3.997,212,-84
1.08,1.052,1.202,2.992,284,-24
1.225,1.283,1.283,3.835,368,0
1.143,1.055,1.707,4.914,176,-152
0.964,0.966,1.509,3.519,176,-88
1.299,0.999,1.397,2.912,152,-80
1.095,1.253,1.432,3.925,320,-24
1.171,1.54,1.782,3.62,168,-108
1.094,1.052,1.639,3.599,148,-92
1.094,1.045,1.784,3.425,152,-100
1.245,1.148,1.761,3.21,168,-84
1.245,1.064,1.722,3.634,168,-84
0.881,0.974,1.585,3.351,152,-84
1.086,1.079,1.97,3.729,116,-120
0.995,1.051,1.669,3.331,152,-124
1.187,1.165,1.882,3.187,124,-100
1.095,1.08,1.605,3.302,144,-92
0.881,0.887,1.615,3.525,160,-96
1.148,1.049,1.967,3.78,128,-132
1.128,1.055,1.547,3.517,148,-120
1.411,1.311,1.532,2.697,148,-56
1.095,1.023,1.487,3.638,160,-84
1.431,1.533,1.319,3.075,196,-16
1.049,1.073,1.704,3.406,160,-112
1.431,1.39,1.596,2.887,204,-28
1.236,1.104,1.613,3.624,184,-80
1.07,1.12,2.013,3.719,128,-152
1.325,1.252,1.576,2.671,136,-68
1.04,1.096,1.357,3.359,212,-44
1.09,1.065,1.707,3.198,132,-120
1.104,1.012,1.745,3.554,140,-112
1.055,1.139,1.568,3.735,168,-76
1.104,1.033,1.809,3.176,144,-116
1.209,1.113,1.488,2.598,136,-52
1.055,0.969,1.45,3.192,172,-64
1.2,1.136,1.625,2.836,100,-68
1.07,0.942,1.793,3.391,136,-136
1.037,0.791,1.578,3.268,128,-108
1.573,1.389,1.918,3.653,244,-96
1.086,1.032,1.727,3.363,140,-104
1.148,1.207,1.604,2.891,172,-88
1.511,1.373,1.877,3.402,152,-84
1.329,1.246,1.514,2.93,180,-36
1.329,1.194,1.476,2.962,180,-36
0.956,1.065,1.712,3.309,136,-136
1.101,1.149,1.642,3.543,156,-112
1.21,1.269,1.401,2.998,136,-32
0.812,0.934,1.523,3.17,128,-120
0.833,1.044,1.686,3.314,104,-80
0.944,1.132,1.679,3.624,164,-108
1.037,0.887,1.637,3.16,140,-124
0.944,0.848,1.328,3.492,164,-116
1.236,1.098,1.557,3.435,212,-84
1.131,1.089,1.698,3.33,128,-104
1.209,1.181,1.286,2.993,168,-44
1.131,0.837,1.45,3.414,136,-132
1.097,1.187,1.369,3.571,260,-68
1.101,0.883,1.429,3.243,172,-104
1.314,1.103,1.446,2.854,180,-60
1.511,1.165,1.616,3.557,176,-96
1.068,1.151,1.823,3.494,136,-148
1.334,1.071,1.636,3.162,212,-76
1.12,1.161,1.393,2.552,148,-80
1.319,0.974,1.801,3.688,112,-116
1.514,1.373,1.498,3.267,140,-56
1.152,1.022,1.683,4.07,124,-112
1.2,1.311,1.571,3.566,136,-68
1.319,0.854,1.716,3.598,112,-124
1.514,1.359,1.795,3.226,136,-68
1.352,1.269,1.674,3.309,176,-92
1.325,1.052,1.543,3.252,160,-56
1.187,1.056,1.434,3.153,156,-96
1.303,1.165,1.346,3.185,224,-36
1.068,0.921,1.439,3.382,148,-148
1.334,1.296,1.581,3.477,228,-64
1.342,1.089,1.499,2.737,128,-56
0.986,1.065,1.276,3.12,228,-48
0.812,0.872,1.426,3.146,160,-132
1.358,1.262,1.639,3.671,152,-52
1.152,0.891,1.784,3.536,132,-128
1.411,1.18,1.494,3.079,212,-52
1.156,1.336,1.575,3.8,172,-32
1.147,0.988,1.79,3.275,116,-128
1.164,1.243,1.63,3.955,156,-68
1.295,1.096,1.569,3.232,124,-68
1.138,1.072,1.709,3.181,124,-116
1.325,1.399,1.832,3.731,172,-64
1.187,1.001,1.41,2.882,172,-92
1.113,1.086,1.641,3.458,136,-72
0.882,0.881,1.241,2.441,144,-80
1.128,1.093,1.259,3.282,180,-36
1.002,0.946,1.466,3.427,180,-112
1.148,1.127,1.466,2.886,232,-72
1.134,1.075,1.484,3.389,224,-104
1.128,1.232,1.37,3.148,180,-48
0.718,0.764,1.449,2.94,120,-112
1.172,1.073,1.613,3.113,164,-72
0.987,0.794,1.759,3.391,116,-144
1.358,1.161,1.518,3.46,164,-52
0.956,0.998,1.554,3.347,196,-136
1.352,1.222,1.747,3.556,196,-100
1.107,1.044,1.228,3.034,248,-36
